order_id,customer_id,order_date,product_id,product_price,category,brand,quantity,discount_pct,revenue,month,month_name
ORD00001,CUST1654,2023-08-20,5300011d515f36df2f6588f8d24e74dd,315.0,Men's Store,Neemli Naturals,1,30,220.5,2023-08,Aug 2023
ORD00002,CUST1114,2023-03-30,d4277ea174bf69fd6b781c3d8e7b10e6,450.0,Hair,Herbal Me,1,0,450.0,2023-03,Mar 2023
ORD00003,CUST1025,2023-08-16,18901030685191890103000000300000000000LCRP100IN,170.0,Makeup,Lakme,1,0,170.0,2023-08,Aug 2023
ORD00004,CUST1759,2023-02-14,ad673db4c998bbb622ac079eb0c9dc2f,260.0,Skin,Nivea,1,10,234.0,2023-02,Feb 2023
ORD00005,CUST1281,2023-12-16,5862930756fbef68849d9ba594ffd3ed,5650.0,Men's Store,Givenchy,1,20,4520.0,2023-12,Dec 2023
ORD00006,CUST1250,2023-06-13,97eb0a7fc0ce546afac4cca83b477974,81.0,Personal Care,Nature's Essence,1,10,72.9,2023-06,Jun 2023
ORD00007,CUST1228,2023-12-08,07214e6e1550eb2972c848e7c2517f55,1400.0,Makeup,NYX Professional Makeup,3,0,4200.0,2023-12,Dec 2023
ORD00008,CUST1142,2023-06-27,9a3b2ad0ace72c6923865801bcaac3eb,750.0,Personal Care,L'Occitane,1,10,675.0,2023-06,Jun 2023
ORD00009,CUST1754,2023-12-30,5300011d515f36df2f6588f8d24e74dd,315.0,Men's Store,Neemli Naturals,1,0,315.0,2023-12,Dec 2023
ORD00010,CUST1104,2023-02-03,9bc3c17f7e6df8549ae57ce60f195bc2,750.0,Makeup,L'Oreal Paris,1,10,675.0,2023-02,Feb 2023
ORD00011,CUST1692,2023-10-09,8dcc9f736d2ac35bcb8359cf45a55eba,80.0,Personal Care,Clean & Clear,1,10,72.0,2023-10,Oct 2023
ORD00012,CUST1758,2023-10-05,18901030685191890103000000300000000000LCRP100IN,155.0,Brand,Lakme,1,20,124.0,2023-10,Oct 2023
ORD00013,CUST1913,2023-05-29,6972eafff8e3af779fda3a3d394a98da,325.0,Makeup,L.A. Colors,1,0,325.0,2023-05,May 2023
ORD00014,CUST1558,2023-06-03,dd0728751920d389cdcef202bc5b15de,299.0,Skin,Zerb,1,10,269.1,2023-06,Jun 2023
ORD00015,CUST1089,2023-03-22,d2a3d94a46d8e51e9cd2cf5a48f65716,51.0,Natural,Biotique,2,0,102.0,2023-03,Mar 2023
ORD00016,CUST1604,2023-12-31,a9f0efd23c20338908f52a330f014bcf,45.0,Skin,Denver,1,0,45.0,2023-12,Dec 2023
ORD00017,CUST1432,2023-12-30,ffaab03155d236234f17414bf4eb4e7b,650.0,Makeup,Makeup Revolution,1,20,520.0,2023-12,Dec 2023
ORD00018,CUST1032,2023-12-25,8a153370da6f60a9c3415a4fe7d922b8,139.0,Brand,Nykaa Naturals,1,30,97.3,2023-12,Dec 2023
ORD00019,CUST1030,2023-11-23,aaaac7163e80cff58a8092c1ff48f8d1,179.0,Makeup,Faces Canada,1,0,179.0,2023-11,Nov 2023
ORD00020,CUST1095,2023-03-31,60928db9ee6e553e7ed4a449d229de36,336.0,Skin,Allin Exporters,1,20,268.8,2023-03,Mar 2023
ORD00021,CUST1223,2023-07-05,2834a0ea729a7180883d58ac709d4ebf,3600.0,NFBA 2020 Nominees Online Sale,Estee Lauder,1,20,2880.0,2023-07,Jul 2023
ORD00022,CUST1238,2023-09-18,c2be7e1ef97ba2c19c69d1ac953a9cad,1250.0,Makeup,Milani,1,20,1000.0,2023-09,Sep 2023
ORD00023,CUST1517,2023-04-25,1e695cfb6162fcdaf1a3125d37a0ba95,49.0,Natural,Bajaj Nomarks,2,0,98.0,2023-04,Apr 2023
ORD00024,CUST1616,2023-03-04,18901030656771890103000000300000000000LRLE77AIN,32.0,Skin,Liril,1,30,22.4,2023-03,Mar 2023
ORD00025,CUST1027,2023-04-13,603c432db23638865c00000bf14342f3,115.0,Personal Care,Organic Harvest,1,0,115.0,2023-04,Apr 2023
ORD00026,CUST1574,2023-03-13,82252f975624c9d98e75fe5f372ef4bf,1975.0,Hair,Kevin.Murphy,2,0,3950.0,2023-03,Mar 2023
